date,hour,sales,profit,region,state,category,type,caffeination
1/31/2010,0,219,94,Central,CO,Coffee,Amaretto,Regular
1/31/2010,1,190,68,Central,CO,Coffee,Columbian,Regular
1/8/2010,2,234,101,Central,CO,Coffee,Decaf Irish Cream,Decaf
1/20/2010,3,100,30,Central,CO,Tea,Green Tea,Regular
1/23/2010,4,134,54,Central,CO,Espresso,Caffe Mocha,Regular
1/16/2010,5,180,53,Central,CO,Espresso,Decaf Espresso,Decaf
1/27/2010,6,341,99,Central,CO,Herbal Tea,Chamomile,Decaf
1/6/2010,7,150,0,Central,CO,Herbal Tea,Lemon,Decaf
1/4/2010,8,140,33,Central,CO,Herbal Tea,Mint,Decaf
1/1/2010,9,130,17,Central,CO,Tea,Darjeeling,Regular
1/5/2010,10,140,36,Central,CO,Tea,Earl Grey,Regular
1/17/2010,11,345,111,Central,IL,Coffee,Columbian,Regular
1/16/2010,12,234,87,Central,IL,Coffee,Decaf Irish Cream,Decaf
1/12/2010,13,546,203,Central,IL,Espresso,Caffe Mocha,Regular
1/10/2010,14,456,140,Central,IL,Espresso,Decaf Espresso,Decaf
1/1/2010,15,219,95,Central,IL,Herbal Tea,Chamomile,Decaf
1/26/2010,16,190,68,Central,IL,Herbal Tea,Lemon,Decaf
1/20/2010,17,234,101,Central,IL,Herbal Tea,Mint,Decaf
1/14/2010,18,134,53,Central,IL,Tea,Darjeeling,Regular
1/8/2010,19,180,54,Central,IL,Tea,Earl Grey,Regular
1/25/2010,20,45,11,Central,IA,Coffee,Amaretto,Regular
1/26/2010,21,62,5,Central,IA,Coffee,Columbian,Regular
1/27/2010,22,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
1/15/2010,23,43,11,Central,IA,Espresso,Caffe Mocha,Regular
1/31/2010,6,43,10,Central,IA,Espresso,Decaf Espresso,Decaf
1/27/2010,7,546,202,Central,IA,Herbal Tea,Chamomile,Decaf
1/3/2010,8,234,86,Central,IA,Herbal Tea,Lemon,Decaf
1/8/2010,9,456,141,Central,IA,Tea,Darjeeling,Regular
1/26/2010,10,546,175,Central,IA,Tea,Earl Grey,Regular
1/13/2010,11,190,39,Central,MO,Coffee,Columbian,Regular
1/15/2010,12,170,47,Central,MO,Coffee,Decaf Irish Cream,Decaf
1/30/2010,13,76,4,Central,MO,Tea,Green Tea,Regular
1/30/2010,14,123,48,Central,MO,Espresso,Caffe Mocha,Regular
1/24/2010,15,114,45,Central,MO,Espresso,Decaf Espresso,Decaf
1/18/2010,16,90,11,Central,MO,Herbal Tea,Chamomile,Decaf
1/29/2010,17,99,39,Central,MO,Herbal Tea,Lemon,Decaf
1/16/2010,18,82,9,Central,MO,Tea,Darjeeling,Regular
1/6/2010,19,65,9,Central,MO,Tea,Earl Grey,Regular
1/11/2010,14,140,34,Central,OH,Coffee,Amaretto,Regular
1/10/2010,15,140,42,Central,OH,Coffee,Columbian,Regular
1/18/2010,16,150,0,Central,OH,Coffee,Decaf Irish Cream,Decaf
